Property                           Type     Read-only  Value
CONFIG.ADC_Bypass_BG_Cal23         string   true       false
CONFIG.ADC_Bypass_BG_Cal30         string   true       false
CONFIG.ADC_Bypass_BG_Cal31         string   true       false
CONFIG.ADC_Bypass_BG_Cal32         string   true       false
CONFIG.ADC_Bypass_BG_Cal33         string   true       false
CONFIG.ADC_CalOpt_Mode00           string   true       1
CONFIG.ADC_CalOpt_Mode01           string   true       1
CONFIG.ADC_CalOpt_Mode02           string   true       1
CONFIG.ADC_CalOpt_Mode03           string   true       1
CONFIG.ADC_CalOpt_Mode10           string   true       1
CONFIG.ADC_CalOpt_Mode11           string   true       1
CONFIG.ADC_CalOpt_Mode12           string   true       1
CONFIG.ADC_CalOpt_Mode13           string   true       1
CONFIG.ADC_CalOpt_Mode20           string   true       1
CONFIG.ADC_CalOpt_Mode21           string   true       1
CONFIG.ADC_CalOpt_Mode22           string   true       1
CONFIG.ADC_CalOpt_Mode23           string   true       1
CONFIG.ADC_CalOpt_Mode30           string   true       1
CONFIG.ADC_CalOpt_Mode31           string   true       1
CONFIG.ADC_CalOpt_Mode32           string   true       1
CONFIG.ADC_CalOpt_Mode33           string   true       1
CONFIG.ADC_Coarse_Mixer_Freq00     string   true       3
CONFIG.ADC_Coarse_Mixer_Freq01     string   true       0
CONFIG.ADC_Coarse_Mixer_Freq02     string   true       0
CONFIG.ADC_Coarse_Mixer_Freq03     string   true       0
CONFIG.ADC_Coarse_Mixer_Freq10     string   true       3
CONFIG.ADC_Coarse_Mixer_Freq11     string   true       0
CONFIG.ADC_Coarse_Mixer_Freq12     string   true       0
CONFIG.ADC_Coarse_Mixer_Freq13     string   true       0
CONFIG.ADC_Coarse_Mixer_Freq20     string   true       3
CONFIG.ADC_Coarse_Mixer_Freq21     string   true       0
CONFIG.ADC_Coarse_Mixer_Freq22     string   true       0
CONFIG.ADC_Coarse_Mixer_Freq23     string   true       0
CONFIG.ADC_Coarse_Mixer_Freq30     string   true       3
CONFIG.ADC_Coarse_Mixer_Freq31     string   true       0
CONFIG.ADC_Coarse_Mixer_Freq32     string   true       0
CONFIG.ADC_Coarse_Mixer_Freq33     string   true       0
CONFIG.ADC_DSA_RTS                 string   true       false
CONFIG.ADC_Data_Type00             string   true       0
CONFIG.ADC_Data_Type01             string   true       0
CONFIG.ADC_Data_Type02             string   true       0
CONFIG.ADC_Data_Type03             string   true       0
CONFIG.ADC_Data_Type10             string   true       0
CONFIG.ADC_Data_Type11             string   true       0
CONFIG.ADC_Data_Type12             string   true       0
CONFIG.ADC_Data_Type13             string   true       0
CONFIG.ADC_Data_Type20             string   true       0
CONFIG.ADC_Data_Type21             string   true       0
CONFIG.ADC_Data_Type22             string   true       0
CONFIG.ADC_Data_Type23             string   true       0
CONFIG.ADC_Data_Type30             string   true       0
CONFIG.ADC_Data_Type31             string   true       0
CONFIG.ADC_Data_Type32             string   true       0
CONFIG.ADC_Data_Type33             string   true       0
CONFIG.ADC_Data_Width00            string   true       1
CONFIG.ADC_Data_Width01            string   true       8
CONFIG.ADC_Data_Width02            string   true       8
CONFIG.ADC_Data_Width03            string   true       8
CONFIG.ADC_Data_Width10            string   true       1
CONFIG.ADC_Data_Width11            string   true       8
CONFIG.ADC_Data_Width12            string   true       8
CONFIG.ADC_Data_Width13            string   true       8
CONFIG.ADC_Data_Width20            string   true       1
CONFIG.ADC_Data_Width21            string   true       8
CONFIG.ADC_Data_Width22            string   true       8
CONFIG.ADC_Data_Width23            string   true       8
CONFIG.ADC_Data_Width30            string   true       1
CONFIG.ADC_Data_Width31            string   true       8
CONFIG.ADC_Data_Width32            string   true       8
CONFIG.ADC_Data_Width33            string   true       8
CONFIG.ADC_Debug                   string   true       false
CONFIG.ADC_Decimation_Mode00       string   true       8
CONFIG.ADC_Decimation_Mode01       string   true       0
CONFIG.ADC_Decimation_Mode02       string   true       0
CONFIG.ADC_Decimation_Mode03       string   true       0
CONFIG.ADC_Decimation_Mode10       string   true       8
CONFIG.ADC_Decimation_Mode11       string   true       0
CONFIG.ADC_Decimation_Mode12       string   true       0
CONFIG.ADC_Decimation_Mode13       string   true       0
CONFIG.ADC_Decimation_Mode20       string   true       8
CONFIG.ADC_Decimation_Mode21       string   true       0
CONFIG.ADC_Decimation_Mode22       string   true       0
CONFIG.ADC_Decimation_Mode23       string   true       0
CONFIG.ADC_Decimation_Mode30       string   true       8
CONFIG.ADC_Decimation_Mode31       string   true       0
CONFIG.ADC_Decimation_Mode32       string   true       0
CONFIG.ADC_Decimation_Mode33       string   true       0
CONFIG.ADC_Dither00                string   true       true
CONFIG.ADC_Dither01                string   true       true
CONFIG.ADC_Dither02                string   true       true
CONFIG.ADC_Dither03                string   true       true
CONFIG.ADC_Dither10                string   true       true
CONFIG.ADC_Dither11                string   true       true
CONFIG.ADC_Dither12                string   true       true
CONFIG.ADC_Dither13                string   true       true
CONFIG.ADC_Dither20                string   true       true
CONFIG.ADC_Dither21                string   true       true
CONFIG.ADC_Dither22                string   true       true
CONFIG.ADC_Dither23                string   true       true
CONFIG.ADC_Dither30                string   true       true
CONFIG.ADC_Dither31                string   true       true
CONFIG.ADC_Dither32                string   true       true
CONFIG.ADC_Dither33                string   true       true
CONFIG.ADC_Mixer_Mode00            string   true       2
CONFIG.ADC_Mixer_Mode01            string   true       2
CONFIG.ADC_Mixer_Mode02            string   true       2
CONFIG.ADC_Mixer_Mode03            string   true       2
CONFIG.ADC_Mixer_Mode10            string   true       2
CONFIG.ADC_Mixer_Mode11            string   true       2
CONFIG.ADC_Mixer_Mode12            string   true       2
CONFIG.ADC_Mixer_Mode13            string   true       2
CONFIG.ADC_Mixer_Mode20            string   true       2
CONFIG.ADC_Mixer_Mode21            string   true       2
CONFIG.ADC_Mixer_Mode22            string   true       2
CONFIG.ADC_Mixer_Mode23            string   true       2
CONFIG.ADC_Mixer_Mode30            string   true       2
CONFIG.ADC_Mixer_Mode31            string   true       2
CONFIG.ADC_Mixer_Mode32            string   true       2
CONFIG.ADC_Mixer_Mode33            string   true       2
CONFIG.ADC_Mixer_Type00            string   true       1
CONFIG.ADC_Mixer_Type01            string   true       3
CONFIG.ADC_Mixer_Type02            string   true       3
CONFIG.ADC_Mixer_Type03            string   true       3
CONFIG.ADC_Mixer_Type10            string   true       1
CONFIG.ADC_Mixer_Type11            string   true       3
CONFIG.ADC_Mixer_Type12            string   true       3
CONFIG.ADC_Mixer_Type13            string   true       3
CONFIG.ADC_Mixer_Type20            string   true       1
CONFIG.ADC_Mixer_Type21            string   true       3
CONFIG.ADC_Mixer_Type22            string   true       3
CONFIG.ADC_Mixer_Type23            string   true       3
CONFIG.ADC_Mixer_Type30            string   true       1
CONFIG.ADC_Mixer_Type31            string   true       3
CONFIG.ADC_Mixer_Type32            string   true       3
CONFIG.ADC_Mixer_Type33            string   true       3
CONFIG.ADC_NCO_Freq00              string   true       0.0
CONFIG.ADC_NCO_Freq01              string   true       0.0
CONFIG.ADC_NCO_Freq02              string   true       0.0
CONFIG.ADC_NCO_Freq03              string   true       0.0
CONFIG.ADC_NCO_Freq10              string   true       0.0
CONFIG.ADC_NCO_Freq11              string   true       0.0
CONFIG.ADC_NCO_Freq12              string   true       0.0
CONFIG.ADC_NCO_Freq13              string   true       0.0
CONFIG.ADC_NCO_Freq20              string   true       0.0
CONFIG.ADC_NCO_Freq21              string   true       0.0
CONFIG.ADC_NCO_Freq22              string   true       0.0
CONFIG.ADC_NCO_Freq23              string   true       0.0
CONFIG.ADC_NCO_Freq30              string   true       0.0
CONFIG.ADC_NCO_Freq31              string   true       0.0
CONFIG.ADC_NCO_Freq32              string   true       0.0
CONFIG.ADC_NCO_Freq33              string   true       0.0
CONFIG.ADC_NCO_Phase00             string   true       0
CONFIG.ADC_NCO_Phase01             string   true       0
CONFIG.ADC_NCO_Phase02             string   true       0
CONFIG.ADC_NCO_Phase03             string   true       0
CONFIG.ADC_NCO_Phase10             string   true       0
CONFIG.ADC_NCO_Phase11             string   true       0
CONFIG.ADC_NCO_Phase12             string   true       0
CONFIG.ADC_NCO_Phase13             string   true       0
CONFIG.ADC_NCO_Phase20             string   true       0
CONFIG.ADC_NCO_Phase21             string   true       0
CONFIG.ADC_NCO_Phase22             string   true       0
CONFIG.ADC_NCO_Phase23             string   true       0
CONFIG.ADC_NCO_Phase30             string   true       0
CONFIG.ADC_NCO_Phase31             string   true       0
CONFIG.ADC_NCO_Phase32             string   true       0
CONFIG.ADC_NCO_Phase33             string   true       0
CONFIG.ADC_NCO_RTS                 string   true       false
CONFIG.ADC_Neg_Quadrature00        string   true       false
CONFIG.ADC_Neg_Quadrature01        string   true       false
CONFIG.ADC_Neg_Quadrature02        string   true       false
CONFIG.ADC_Neg_Quadrature03        string   true       false
CONFIG.ADC_Neg_Quadrature10        string   true       false
CONFIG.ADC_Neg_Quadrature11        string   true       false
CONFIG.ADC_Neg_Quadrature12        string   true       false
CONFIG.ADC_Neg_Quadrature13        string   true       false
CONFIG.ADC_Neg_Quadrature20        string   true       false
CONFIG.ADC_Neg_Quadrature21        string   true       false
CONFIG.ADC_Neg_Quadrature22        string   true       false
CONFIG.ADC_Neg_Quadrature23        string   true       false
CONFIG.ADC_Neg_Quadrature30        string   true       false
CONFIG.ADC_Neg_Quadrature31        string   true       false
CONFIG.ADC_Neg_Quadrature32        string   true       false
CONFIG.ADC_Neg_Quadrature33        string   true       false
CONFIG.ADC_Nyquist00               string   true       0
CONFIG.ADC_Nyquist01               string   true       0
CONFIG.ADC_Nyquist02               string   true       0
CONFIG.ADC_Nyquist03               string   true       0
CONFIG.ADC_Nyquist10               string   true       0
CONFIG.ADC_Nyquist11               string   true       0
CONFIG.ADC_Nyquist12               string   true       0
CONFIG.ADC_Nyquist13               string   true       0
CONFIG.ADC_Nyquist20               string   true       0
CONFIG.ADC_Nyquist21               string   true       0
CONFIG.ADC_Nyquist22               string   true       0
CONFIG.ADC_Nyquist23               string   true       0
CONFIG.ADC_Nyquist30               string   true       0
CONFIG.ADC_Nyquist31               string   true       0
CONFIG.ADC_Nyquist32               string   true       0
CONFIG.ADC_Nyquist33               string   true       0
CONFIG.ADC_OBS00                   string   true       false
CONFIG.ADC_OBS01                   string   true       false
CONFIG.ADC_OBS02                   string   true       false
CONFIG.ADC_OBS03                   string   true       false
CONFIG.ADC_OBS10                   string   true       false
CONFIG.ADC_OBS11                   string   true       false
CONFIG.ADC_OBS12                   string   true       false
CONFIG.ADC_OBS13                   string   true       false
CONFIG.ADC_OBS20                   string   true       false
CONFIG.ADC_OBS21                   string   true       false
CONFIG.ADC_OBS22                   string   true       false
CONFIG.ADC_OBS23                   string   true       false
CONFIG.ADC_OBS30                   string   true       false
CONFIG.ADC_OBS31                   string   true       false
CONFIG.ADC_OBS32                   string   true       false
CONFIG.ADC_OBS33                   string   true       false
CONFIG.ADC_RESERVED_1_00           string   true       false
CONFIG.ADC_RESERVED_1_01           string   true       false
CONFIG.ADC_RESERVED_1_02           string   true       false
CONFIG.ADC_RESERVED_1_03           string   true       false
CONFIG.ADC_RESERVED_1_10           string   true       false
CONFIG.ADC_RESERVED_1_11           string   true       false
CONFIG.ADC_RESERVED_1_12           string   true       false
CONFIG.ADC_RESERVED_1_13           string   true       false
CONFIG.ADC_RESERVED_1_20           string   true       false
CONFIG.ADC_RESERVED_1_21           string   true       false
CONFIG.ADC_RESERVED_1_22           string   true       false
CONFIG.ADC_RESERVED_1_23           string   true       false
CONFIG.ADC_RESERVED_1_30           string   true       false
CONFIG.ADC_RESERVED_1_31           string   true       false
CONFIG.ADC_RESERVED_1_32           string   true       false
CONFIG.ADC_RESERVED_1_33           string   true       false
CONFIG.ADC_RTS                     string   true       false
CONFIG.ADC_Slice00_Enable          string   true       true
CONFIG.ADC_Slice01_Enable          string   true       false
CONFIG.ADC_Slice02_Enable          string   true       false
CONFIG.ADC_Slice03_Enable          string   true       false
CONFIG.ADC_Slice10_Enable          string   true       true
CONFIG.ADC_Slice11_Enable          string   true       false
CONFIG.ADC_Slice12_Enable          string   true       false
CONFIG.ADC_Slice13_Enable          string   true       false
CONFIG.ADC_Slice20_Enable          string   true       true
CONFIG.ADC_Slice21_Enable          string   true       false
CONFIG.ADC_Slice22_Enable          string   true       false
CONFIG.ADC_Slice23_Enable          string   true       false
CONFIG.ADC_Slice30_Enable          string   true       true
CONFIG.ADC_Slice31_Enable          string   true       false
CONFIG.ADC_Slice32_Enable          string   true       false
CONFIG.ADC_Slice33_Enable          string   true       false
CONFIG.ADC_TDD_RTS00               string   true       0
CONFIG.ADC_TDD_RTS01               string   true       0
CONFIG.ADC_TDD_RTS02               string   true       0
CONFIG.ADC_TDD_RTS03               string   true       0
CONFIG.ADC_TDD_RTS10               string   true       0
CONFIG.ADC_TDD_RTS11               string   true       0
CONFIG.ADC_TDD_RTS12               string   true       0
CONFIG.ADC_TDD_RTS13               string   true       0
CONFIG.ADC_TDD_RTS20               string   true       0
CONFIG.ADC_TDD_RTS21               string   true       0
CONFIG.ADC_TDD_RTS22               string   true       0
CONFIG.ADC_TDD_RTS23               string   true       0
CONFIG.ADC_TDD_RTS30               string   true       0
CONFIG.ADC_TDD_RTS31               string   true       0
CONFIG.ADC_TDD_RTS32               string   true       0
CONFIG.ADC_TDD_RTS33               string   true       0
CONFIG.AMS_Factory_Var             string   true       0
CONFIG.Analog_Detection            string   true       1
CONFIG.Auto_Calibration_Freeze     string   true       false
CONFIG.Axiclk_Freq                 string   true       100.0
CONFIG.C_ADC0_Band                 string   true       0
CONFIG.C_ADC0_Clock_Dist           string   true       0
CONFIG.C_ADC0_Clock_Source         string   true       2
CONFIG.C_ADC0_Decimation           string   true       8
CONFIG.C_ADC00_Dig_Port            string   true       1
CONFIG.C_ADC0_Enable               string   true       1
CONFIG.C_ADC0_FBDIV                string   true       48
CONFIG.C_ADC0_Fabric_Freq          string   true       250.000
CONFIG.C_ADC0_Fs_Max               string   true       2.500
CONFIG.C_ADC0_Link_Coupling        string   true       0
CONFIG.C_ADC0_Multi_Tile_Sync      string   true       false
CONFIG.C_ADC0_OutDiv               string   true       6
CONFIG.C_ADC0_Outclk_Freq          string   true       250.000
CONFIG.C_ADC0_PLL_Enable           string   true       true
CONFIG.C_ADC0_Refclk_Div           string   true       1
CONFIG.C_ADC0_Refclk_Freq          string   true       250.000
CONFIG.C_ADC0_Sampling_Rate        string   true       2.000
CONFIG.C_ADC0_Slices               string   true       4
CONFIG.C_ADC0_Vco                  string   true       12000.0
CONFIG.C_ADC1_Band                 string   true       0
CONFIG.C_ADC1_Clock_Dist           string   true       0
CONFIG.C_ADC1_Clock_Source         string   true       2
CONFIG.C_ADC1_Decimation           string   true       8
CONFIG.C_ADC01_Dig_Port            string   true       0
CONFIG.C_ADC1_Enable               string   true       1
CONFIG.C_ADC1_FBDIV                string   true       48
CONFIG.C_ADC1_Fabric_Freq          string   true       250.000
CONFIG.C_ADC1_Fs_Max               string   true       2.500
CONFIG.C_ADC1_Link_Coupling        string   true       0
CONFIG.C_ADC1_Multi_Tile_Sync      string   true       false
CONFIG.C_ADC1_OutDiv               string   true       6
CONFIG.C_ADC1_Outclk_Freq          string   true       250.000
CONFIG.C_ADC1_PLL_Enable           string   true       true
CONFIG.C_ADC1_Refclk_Div           string   true       1
CONFIG.C_ADC1_Refclk_Freq          string   true       250.000
CONFIG.C_ADC1_Sampling_Rate        string   true       2.000
CONFIG.C_ADC1_Slices               string   true       4
CONFIG.C_ADC1_Vco                  string   true       12000.0
CONFIG.C_ADC2_Band                 string   true       0
CONFIG.C_ADC2_Clock_Dist           string   true       1
CONFIG.C_ADC2_Clock_Source         string   true       2
CONFIG.C_ADC2_Decimation           string   true       8
CONFIG.C_ADC02_Dig_Port            string   true       0
CONFIG.C_ADC2_Enable               string   true       1
CONFIG.C_ADC2_FBDIV                string   true       48
CONFIG.C_ADC2_Fabric_Freq          string   true       250.000
CONFIG.C_ADC2_Fs_Max               string   true       2.500
CONFIG.C_ADC2_Link_Coupling        string   true       0
CONFIG.C_ADC2_Multi_Tile_Sync      string   true       false
CONFIG.C_ADC2_OutDiv               string   true       6
CONFIG.C_ADC2_Outclk_Freq          string   true       250.000
CONFIG.C_ADC2_PLL_Enable           string   true       true
CONFIG.C_ADC2_Refclk_Div           string   true       1
CONFIG.C_ADC2_Refclk_Freq          string   true       250.000
CONFIG.C_ADC2_Sampling_Rate        string   true       2.000
CONFIG.C_ADC2_Slices               string   true       4
CONFIG.C_ADC2_Vco                  string   true       12000.0
CONFIG.C_ADC3_Band                 string   true       0
CONFIG.C_ADC3_Clock_Dist           string   true       0
CONFIG.C_ADC3_Clock_Source         string   true       2
CONFIG.C_ADC3_Decimation           string   true       8
CONFIG.C_ADC03_Dig_Port            string   true       0
CONFIG.C_ADC3_Enable               string   true       1
CONFIG.C_ADC3_FBDIV                string   true       48
CONFIG.C_ADC3_Fabric_Freq          string   true       250.000
CONFIG.C_ADC3_Fs_Max               string   true       2.500
CONFIG.C_ADC3_Link_Coupling        string   true       0
CONFIG.C_ADC3_Multi_Tile_Sync      string   true       false
CONFIG.C_ADC3_OutDiv               string   true       6
CONFIG.C_ADC3_Outclk_Freq          string   true       250.000
CONFIG.C_ADC3_PLL_Enable           string   true       true
CONFIG.C_ADC3_Refclk_Div           string   true       1
CONFIG.C_ADC3_Refclk_Freq          string   true       250.000
CONFIG.C_ADC3_Sampling_Rate        string   true       2.000
CONFIG.C_ADC3_Slices               string   true       4
CONFIG.C_ADC3_Vco                  string   true       12000.0
CONFIG.C_ADC10_Dig_Port            string   true       1
CONFIG.C_ADC11_Dig_Port            string   true       0
CONFIG.C_ADC12_Dig_Port            string   true       0
CONFIG.C_ADC13_Dig_Port            string   true       0
CONFIG.C_ADC20_Dig_Port            string   true       1
CONFIG.C_ADC21_Dig_Port            string   true       0
CONFIG.C_ADC22_Dig_Port            string   true       0
CONFIG.C_ADC23_Dig_Port            string   true       0
CONFIG.C_ADC30_Dig_Port            string   true       1
CONFIG.C_ADC31_Dig_Port            string   true       0
CONFIG.C_ADC32_Dig_Port            string   true       0
CONFIG.C_ADC33_Dig_Port            string   true       0
CONFIG.C_ADC_Bypass_BG_Cal00       string   true       false
CONFIG.C_ADC_Bypass_BG_Cal01       string   true       false
CONFIG.C_ADC_Bypass_BG_Cal02       string   true       false
CONFIG.C_ADC_Bypass_BG_Cal03       string   true       false
CONFIG.C_ADC_Bypass_BG_Cal10       string   true       false
CONFIG.C_ADC_Bypass_BG_Cal11       string   true       false
CONFIG.C_ADC_Bypass_BG_Cal12       string   true       false
CONFIG.C_ADC_Bypass_BG_Cal13       string   true       false
CONFIG.C_ADC_Bypass_BG_Cal20       string   true       false
CONFIG.C_ADC_Bypass_BG_Cal21       string   true       false
CONFIG.C_ADC_Bypass_BG_Cal22       string   true       false
CONFIG.C_ADC_Bypass_BG_Cal23       string   true       false
CONFIG.C_ADC_Bypass_BG_Cal30       string   true       false
CONFIG.C_ADC_Bypass_BG_Cal31       string   true       false
CONFIG.C_ADC_Bypass_BG_Cal32       string   true       false
CONFIG.C_ADC_Bypass_BG_Cal33       string   true       false
CONFIG.C_ADC_CalOpt_Mode00         string   true       1
CONFIG.C_ADC_CalOpt_Mode01         string   true       1
CONFIG.C_ADC_CalOpt_Mode02         string   true       1
CONFIG.C_ADC_CalOpt_Mode03         string   true       1
CONFIG.C_ADC_CalOpt_Mode10         string   true       1
CONFIG.C_ADC_CalOpt_Mode11         string   true       1
CONFIG.C_ADC_CalOpt_Mode12         string   true       1
CONFIG.C_ADC_CalOpt_Mode13         string   true       1
CONFIG.C_ADC_CalOpt_Mode20         string   true       1
CONFIG.C_ADC_CalOpt_Mode21         string   true       1
CONFIG.C_ADC_CalOpt_Mode22         string   true       1
CONFIG.C_ADC_CalOpt_Mode23         string   true       1
CONFIG.C_ADC_CalOpt_Mode30         string   true       1
CONFIG.C_ADC_CalOpt_Mode31         string   true       1
CONFIG.C_ADC_CalOpt_Mode32         string   true       1
CONFIG.C_ADC_CalOpt_Mode33         string   true       1
CONFIG.C_ADC_Coarse_Mixer_Freq00   string   true       3
CONFIG.C_ADC_Coarse_Mixer_Freq01   string   true       0
CONFIG.C_ADC_Coarse_Mixer_Freq02   string   true       0
CONFIG.C_ADC_Coarse_Mixer_Freq03   string   true       0
CONFIG.C_ADC_Coarse_Mixer_Freq10   string   true       3
CONFIG.C_ADC_Coarse_Mixer_Freq11   string   true       0
CONFIG.C_ADC_Coarse_Mixer_Freq12   string   true       0
CONFIG.C_ADC_Coarse_Mixer_Freq13   string   true       0
CONFIG.C_ADC_Coarse_Mixer_Freq20   string   true       3
CONFIG.C_ADC_Coarse_Mixer_Freq21   string   true       0
CONFIG.C_ADC_Coarse_Mixer_Freq22   string   true       0
CONFIG.C_ADC_Coarse_Mixer_Freq23   string   true       0
CONFIG.C_ADC_Coarse_Mixer_Freq30   string   true       3
CONFIG.C_ADC_Coarse_Mixer_Freq31   string   true       0
CONFIG.C_ADC_Coarse_Mixer_Freq32   string   true       0
CONFIG.C_ADC_Coarse_Mixer_Freq33   string   true       0
CONFIG.C_ADC_DSA_RTS               string   true       false
CONFIG.C_ADC_Data_Type00           string   true       0
CONFIG.C_ADC_Data_Type01           string   true       0
CONFIG.C_ADC_Data_Type02           string   true       0
CONFIG.C_ADC_Data_Type03           string   true       0
CONFIG.C_ADC_Data_Type10           string   true       0
CONFIG.C_ADC_Data_Type11           string   true       0
CONFIG.C_ADC_Data_Type12           string   true       0
CONFIG.C_ADC_Data_Type13           string   true       0
CONFIG.C_ADC_Data_Type20           string   true       0
CONFIG.C_ADC_Data_Type21           string   true       0
CONFIG.C_ADC_Data_Type22           string   true       0
CONFIG.C_ADC_Data_Type23           string   true       0
CONFIG.C_ADC_Data_Type30           string   true       0
CONFIG.C_ADC_Data_Type31           string   true       0
CONFIG.C_ADC_Data_Type32           string   true       0
CONFIG.C_ADC_Data_Type33           string   true       0
CONFIG.C_ADC_Data_Width00          string   true       1
CONFIG.C_ADC_Data_Width01          string   true       8
CONFIG.C_ADC_Data_Width02          string   true       8
CONFIG.C_ADC_Data_Width03          string   true       8
CONFIG.C_ADC_Data_Width10          string   true       1
CONFIG.C_ADC_Data_Width11          string   true       8
CONFIG.C_ADC_Data_Width12          string   true       8
CONFIG.C_ADC_Data_Width13          string   true       8
CONFIG.C_ADC_Data_Width20          string   true       1
CONFIG.C_ADC_Data_Width21          string   true       8
CONFIG.C_ADC_Data_Width22          string   true       8
CONFIG.C_ADC_Data_Width23          string   true       8
CONFIG.C_ADC_Data_Width30          string   true       1
CONFIG.C_ADC_Data_Width31          string   true       8
CONFIG.C_ADC_Data_Width32          string   true       8
CONFIG.C_ADC_Data_Width33          string   true       8
CONFIG.C_ADC_Debug                 string   true       false
CONFIG.C_ADC_Decimation_Mode00     string   true       8
CONFIG.C_ADC_Decimation_Mode01     string   true       0
CONFIG.C_ADC_Decimation_Mode02     string   true       0
CONFIG.C_ADC_Decimation_Mode03     string   true       0
CONFIG.C_ADC_Decimation_Mode10     string   true       8
CONFIG.C_ADC_Decimation_Mode11     string   true       0
CONFIG.C_ADC_Decimation_Mode12     string   true       0
CONFIG.C_ADC_Decimation_Mode13     string   true       0
CONFIG.C_ADC_Decimation_Mode20     string   true       8
CONFIG.C_ADC_Decimation_Mode21     string   true       0
CONFIG.C_ADC_Decimation_Mode22     string   true       0
CONFIG.C_ADC_Decimation_Mode23     string   true       0
CONFIG.C_ADC_Decimation_Mode30     string   true       8
CONFIG.C_ADC_Decimation_Mode31     string   true       0
CONFIG.C_ADC_Decimation_Mode32     string   true       0
CONFIG.C_ADC_Decimation_Mode33     string   true       0
CONFIG.C_ADC_Dither00              string   true       true
CONFIG.C_ADC_Dither01              string   true       true
CONFIG.C_ADC_Dither02              string   true       true
CONFIG.C_ADC_Dither03              string   true       true
CONFIG.C_ADC_Dither10              string   true       true
CONFIG.C_ADC_Dither11              string   true       true
CONFIG.C_ADC_Dither12              string   true       true
CONFIG.C_ADC_Dither13              string   true       true
CONFIG.C_ADC_Dither20              string   true       true
CONFIG.C_ADC_Dither21              string   true       true
CONFIG.C_ADC_Dither22              string   true       true
CONFIG.C_ADC_Dither23              string   true       true
